t,X_p,X_emb,S,H,H_b,R,I_emb,I_p,I,A,M,J,C_W_1,D_G_1,D_M_1,D_A_1,D_R_1,D_h_1,y_G,y_M,y_A,y_R,h_z,h_S
0.0,9.992514773724911e-5,1.6171219742144817e-6,1.6171219742144817e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4.903124480467081e-10,9.992514778624365e-5,1.6171219741469304e-6,1.617121985126198e-9,5.1383038176879226e-18,2.5692142283240496e-18,0.0,6.755146523229798e-17,0.0,6.755146523229798e-17,2.2291983526658333e-17,4.678080731972532e-19,1.2697646591237889e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
5.393436880420732e-9,9.992514827618909e-5,1.617121973471416e-6,1.6171220942433647e-9,5.652134373850073e-17,2.8261357383552234e-17,0.0,7.430661413168051e-16,0.0,7.430661413168051e-16,2.452118266345457e-16,5.145889074942982e-18,1.4094388010228995e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
2.089847794412984e-8,9.992514982553261e-5,1.6171219713352507e-6,1.6171224393021958e-9,2.190088076317179e-16,1.0950706004551989e-16,0.0,2.8792314428957764e-15,0.0,2.8792314428957764e-15,9.501463761556062e-16,1.9939283472534314e-17,1.852397120146742e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
4.847077302643094e-8,9.992515258069827e-5,1.617121967536551e-6,1.6171230529133583e-9,5.079569881247085e-16,2.5398465477539073e-16,0.0,6.677931149464026e-15,0.0,6.677931149464026e-15,2.2037172793231285e-15,4.624608193213237e-17,8.911189262855198e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
8.637513739696811e-7,9.992523404773813e-5,1.617121855213075e-6,1.6171411967405986e-9,9.051846233465275e-15,4.5260329012747245e-15,0.0,1.190014369927482e-13,0.0,1.190014369927482e-13,3.927047420760688e-14,8.24111443255614e-16,1.8344049894317403e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
9.246671698029614e-6,9.99260717121415e-5,1.617120700223324e-6,1.6173277640980205e-9,9.690599548513543e-14,4.8454173058204206e-14,0.0,1.273990411648764e-12,0.0,1.273990411648764e-12,4.204168358440927e-13,8.822842610635852e-15,2.31288856935736e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.00013488942891566716,9.993862659543155e-5,1.6171033788501468e-6,1.6201256863957926e-9,1.4144378850687362e-12,7.072360973258335e-13,0.0,1.8595428589900354e-11,0.0,1.8595428589900354e-11,6.13649143466707e-12,1.2881677826980496e-13,4.767114385808073e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.0008259598494469997,0.0001000076818200135,1.6170077467707941e-6,1.6355716643552746e-9,8.687776304008487e-12,4.343993517214836e-12,0.0,1.1422703432729129e-10,0.0,1.1422703432729129e-10,3.7694921328006425e-11,7.925535854406515e-13,1.8116071674365314e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.0021238976531323633,0.00010013737846368738,1.6168264964192228e-6,1.6648402155039034e-9,2.2469493426545973e-11,1.1235019207551807e-11,0.0,2.9547747603155437e-10,0.0,2.9547747603155437e-10,9.750756709041317e-11,2.0562869594564852e-12,1.2015839348901303e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.003741129818181487,0.00010029898065100046,1.6165976479183124e-6,1.7017835643177906e-9,3.986415559817543e-11,1.9932561209298926e-11,0.0,5.243261061319704e-10,0.0,5.243261061319704e-10,1.730276150235504e-10,3.6625109135537045e-12,3.7444820053772684e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.007143241071535572,0.0001006389375873479,1.6161052392933194e-6,1.781231933652649e-9,7.726925936315218e-11,3.863556653978925e-11,0.0,1.0167372089441382e-9,0.0,1.0167372089441382e-9,3.3552327895156396e-10,7.157885229204436e-12,1.3776303982703056e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.011546088956725188,0.00010107889307917582,1.6154455598274997e-6,1.887580677081225e-9,1.2733454102483322e-10,6.366881407692485e-11,0.0,1.6764180887732248e-9,0.0,1.6764180887732248e-9,5.532179692951616e-10,1.1922366222718031e-11,3.6448612881424717e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.018055620099262013,0.00010172935946749905,1.6144229550168552e-6,2.05224711996484e-9,2.0484730547154169e-10,1.024261351340766e-10,0.0,2.6990256976595526e-9,0.0,2.6990256976595526e-9,8.906784802276476e-10,1.948534405533909e-11,9.083081725956027e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.02681896584671317,0.00010260503822595407,1.612954783981349e-6,2.2882782490184457e-9,3.159501321011461e-10,1.5797889308478038e-10,0.0,4.167197475629057e-9,0.0,4.167197475629057e-9,1.3751751669575832e-9,3.069966280988118e-11,2.05571205925813e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.03558231159416432,0.00010348071680880012,1.6113782524476557e-6,2.541260649105863e-9,4.350411701956577e-10,2.175258520846338e-10,0.0,5.74372881987784e-9,0.0,5.74372881987784e-9,1.895430510559682e-9,4.317812204346684e-11,3.711446432277652e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.044345657341615476,0.00010435639537915758,1.6096897133870717e-6,2.811715178888793e-9,5.623799934082558e-10,2.8119680180929917e-10,0.0,7.432267624912813e-9,0.0,7.432267624912813e-9,2.452648316221223e-9,5.7009603071840483e-11,5.911319499244708e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
0.05310900308906663,0.00010523207397349668,1.6078855408583368e-6,3.1001560879920897e-9,6.98223938138235e-10,3.4912041324623655e-10,0.0,9.236440025470056e-9,0.0,9.236440025470056e-9,3.0480252084051133e-9,7.228571645036236e-11,8.692303747116025e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
